TIME     PID     COMM             AGE(s)  FILE
07:48:58 357888  kubectl          10.24   0de1d91c00a4f219924f1a9a2850e88f
07:48:58 357888  kubectl          10.24   0de1d91c00a4f219924f1a9a2850e88f
07:48:58 357888  kubectl          0.00    0de1d91c00a4f219924f1a9a2850e88f
07:48:58 357888  kubectl          0.00    0de1d91c00a4f219924f1a9a2850e88f
07:48:58 357888  kubectl          0.00    0de1d91c00a4f219924f1a9a2850e88f
07:48:58 357888  kubectl          0.00    0de1d91c00a4f219924f1a9a2850e88f
07:48:58 357936  rm               0.18    cloud_config
07:48:58 357936  rm               0.18    cloud_config
07:48:58 357936  rm               0.18    download-cloud-config.md5
07:48:58 357936  rm               0.18    download-cloud-config.md5
07:48:58 357918  kubectl          10.34   1962c28e6a1baad0603799c88e547aca
07:48:58 357918  kubectl          10.34   1962c28e6a1baad0603799c88e547aca
07:48:58 357918  kubectl          0.01    1962c28e6a1baad0603799c88e547aca
07:48:58 357918  kubectl          0.01    1962c28e6a1baad0603799c88e547aca
07:48:58 357920  kubectl          0.13    0de1d91c00a4f219924f1a9a2850e88f
07:48:58 357920  kubectl          0.13    0de1d91c00a4f219924f1a9a2850e88f
07:48:58 357920  kubectl          0.01    0de1d91c00a4f219924f1a9a2850e88f
07:48:58 357920  kubectl          0.01    0de1d91c00a4f219924f1a9a2850e88f
07:48:58 357931  kubectl          10.38   4359babd976516e4fe13324bc81f7000
07:48:58 357931  kubectl          10.38   4359babd976516e4fe13324bc81f7000
07:48:58 357918  kubectl          0.01    1962c28e6a1baad0603799c88e547aca
07:48:58 357918  kubectl          0.01    1962c28e6a1baad0603799c88e547aca
07:48:58 357920  kubectl          0.01    0de1d91c00a4f219924f1a9a2850e88f
07:48:58 357920  kubectl          0.01    0de1d91c00a4f219924f1a9a2850e88f
07:48:58 357937  kubectl          0.00    0de1d91c00a4f219924f1a9a2850e88f
07:48:58 357937  kubectl          0.00    0de1d91c00a4f219924f1a9a2850e88f
07:48:58 357931  kubectl          0.01    4359babd976516e4fe13324bc81f7000
07:48:58 357931  kubectl          0.01    4359babd976516e4fe13324bc81f7000
07:48:58 357937  kubectl          0.00    0de1d91c00a4f219924f1a9a2850e88f
07:48:58 357937  kubectl          0.00    0de1d91c00a4f219924f1a9a2850e88f
07:48:58 357931  kubectl          0.01    4359babd976516e4fe13324bc81f7000
07:48:58 357931  kubectl          0.01    4359babd976516e4fe13324bc81f7000
07:48:58 357937  kubectl          0.01    0de1d91c00a4f219924f1a9a2850e88f
07:48:58 357937  kubectl          0.01    0de1d91c00a4f219924f1a9a2850e88f
07:48:58 357983  kubectl          10.33   e278d67b5dc3dd4430d69d742fb144b9
07:48:58 357983  kubectl          10.33   e278d67b5dc3dd4430d69d742fb144b9
07:48:58 357983  kubectl          0.01    e278d67b5dc3dd4430d69d742fb144b9
07:48:58 357983  kubectl          0.01    e278d67b5dc3dd4430d69d742fb144b9
07:48:58 357983  kubectl          0.01    e278d67b5dc3dd4430d69d742fb144b9
07:48:58 357983  kubectl          0.01    e278d67b5dc3dd4430d69d742fb144b9
07:48:58 358019  kubectl          0.19    0de1d91c00a4f219924f1a9a2850e88f
07:48:58 358019  kubectl          0.19    0de1d91c00a4f219924f1a9a2850e88f
07:48:58 358019  kubectl          0.01    0de1d91c00a4f219924f1a9a2850e88f
07:48:58 358019  kubectl          0.01    0de1d91c00a4f219924f1a9a2850e88f
07:48:58 358019  kubectl          0.00    0de1d91c00a4f219924f1a9a2850e88f
07:48:58 358019  kubectl          0.00    0de1d91c00a4f219924f1a9a2850e88f
07:48:58 149521  systemd-journal  0.69    8:1577951
07:48:58 149211  systemd          5.34    invocation:cloud-config-download
07:48:59 358072  kubectl          10.31   83bbf4bbbeba30fc8c69e9450d5a665c
07:48:59 358072  kubectl          10.31   83bbf4bbbeba30fc8c69e9450d5a665c
07:48:59 358072  kubectl          0.00    83bbf4bbbeba30fc8c69e9450d5a665c
07:48:59 358072  kubectl          0.00    83bbf4bbbeba30fc8c69e9450d5a665c
07:48:59 358072  kubectl          0.00    83bbf4bbbeba30fc8c69e9450d5a665c
07:48:59 358072  kubectl          0.00    83bbf4bbbeba30fc8c69e9450d5a665c
